obj_3,1,Mon Aug 17 06:25:17 EDT 2020,img_creation,CONFIRMED
heap_1,66,Mon Aug 17 06:26:22 EDT 2020,id=000036.testcase,CONFIRMED
Obj_1,,,id=000036.testcase,CONFIRMED
btree_9,539,Mon Aug 17 06:34:15 EDT 2020,id=000419.testcase,CONFIRMED
btree_8,336,Mon Aug 17 06:30:52 EDT 2020,id=000224.testcase,CONFIRMED
btree_7,415,Mon Aug 17 06:32:11 EDT 2020,id=000332.testcase,CONFIRMED
btree_4,88,Mon Aug 17 06:26:44 EDT 2020,id=000061.testcase,CONFIRMED
btree_1,1,Mon Aug 17 06:25:17 EDT 2020,img_creation,CONFIRMED
btree_6,,,id=000061.testcase,CONFIRMED
btree_3,,,id=000061.testcase,CONFIRMED
btree_2,,,id=000061.testcase,CONFIRMED

